"fatalities","injured","evacuated","city","province","region","country","canada","disastertype","disastersubgroup","disastergroup","disastercategory","magnitude","utilitypeopleaffected","start_day","start_week","start_month","start_year","start_weekend","start_seasoncanada","start_seasoninternational","end_day","end_week","end_month","end_year","end_weekend","end_seasoncanada","end_seasoninternational","estimatedtotalcost","normalizedtotalcost","federaldfaapayments","provincialdfaapayments","provincialdepartmentpayments","municipalcosts","ogdcosts","insurancepayments","ngopayments","keyword1","keyword2","keyword3"
?,?,?,?,?,"Nova Scotia and Prince Edward Island","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,69000,27,47,11,2016,TRUE,"fall","spring",29,48,11,2016,FALSE,"fall","spring",0,0,?,?,?,?,?,?,?,"snow","storm","ice"
?,?,?,"Christmas Island","Nova Scotia","Atlantic Canada","Canada",TRUE,"Storm - Unspecified / Other","Meteorological - Hydrological","Natural","Disaster",0,10038,25,51,12,2016,TRUE,"winter","summer",25,51,12,2016,TRUE,"winter","summer",0,0,?,?,?,?,?,?,?,"flood","storm","wind"
?,?,?,?,?,"Alberta and Saskatchewan","Canada",TRUE,"Epidemic","Biological","Natural","Disaster",0,0,26,43,10,2016,FALSE,"fall","spring",21,51,12,2016,FALSE,"winter","summer",16700000,780373.8,16700000,?,?,?,?,?,?,?,?,?
?,?,?,"North Saskatchewan River","Saskatchewan","Prairie Provinces","Canada",TRUE,"Leak / Spill Release","Hazardous Chemicals","Technology","Incident",0,0,21,29,7,2016,FALSE,"summer","winter",21,29,7,2016,FALSE,"summer","winter",0,0,?,?,?,?,?,?,?,"spill","water","damage"
?,?,576,"Red Earth First Nation","Saskatchewan","Prairie Provinces","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,14,46,11,2016,FALSE,"fall","spring",18,46,11,2016,FALSE,"fall","spring",0,0,?,?,?,?,?,?,?,"flood","rain","evacuate"
?,?,200,?,?,"Ontario, Quebec, New Brunswick, Nove Scotia, Prince Edward Island and Newfoundland","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,750000,24,8,2,2016,FALSE,"winter","summer",26,8,2,2016,FALSE,"winter","summer",0,0,?,?,?,?,?,?,?,"flood","fire","snow"
?,?,?,?,?,"Southern Ontario","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,300000,23,12,3,2016,FALSE,"spring","fall",26,12,3,2016,TRUE,"spring","fall",0,0,?,?,?,?,?,?,?,"snow","storm","ice"
?,?,?,?,?,"Southern Ontario","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,117000,8,27,7,2016,FALSE,"summer","winter",8,27,7,2016,FALSE,"summer","winter",0,0,?,?,?,?,?,?,?,"storm","wind","rain"
9,?,?,"Pikangikum First Nation","Ontario","Central Canada","Canada",TRUE,"Residential","Fire","Technology","Incident",0,0,29,13,3,2016,FALSE,"spring","fall",29,13,3,2016,FALSE,"spring","fall",0,0,?,?,?,?,?,?,?,"fire","killed",?
?,?,?,"Horton","Ontario","Central Canada","Canada",TRUE,"Landslide","Geological","Natural","Disaster",0,0,28,13,3,2016,FALSE,"spring","fall",29,13,3,2016,FALSE,"spring","fall",0,0,?,?,?,?,?,?,?,"flood","water","landslide"
